crime_head,category,year,cases,crime_rate,ipc_cases,bns_cases,share_pct,source_table
The Benami Transaction (Prohibition) Act,SLL,2022,1.0,0.0,,,,table_1.3.xlsx
The Benami Transaction (Prohibition) Act,SLL,2023,2.0,0.0,,,,table_1.3.xlsx
The Benami Transaction (Prohibition) Act,SLL,2024,0.0,0.0,,,0.0,table_1.3.xlsx
The Mines and Minerals (Development and Regulation) Act,SLL,2022,14219.0,1.0,,,,table_1.3.xlsx
The Mines and Minerals (Development and Regulation) Act,SLL,2023,13162.0,0.9,,,,table_1.3.xlsx
The Mines and Minerals (Development and Regulation) Act,SLL,2024,14300.0,1.0,,,0.6,table_1.3.xlsx
Prevention of Corruption Act,SLL,2022,1078.0,0.1,,,,table_1.3.xlsx
Prevention of Corruption Act,SLL,2023,1139.0,0.1,,,,table_1.3.xlsx
Prevention of Corruption Act,SLL,2024,989.0,0.1,,,0.0,table_1.3.xlsx
Finance & Economic Acts (Total of Sl.24-29),SLL,2022,20270.0,1.5,,,,table_1.3.xlsx
Finance & Economic Acts (Total of Sl.24-29),SLL,2023,22922.0,1.6,,,,table_1.3.xlsx
Finance & Economic Acts (Total of Sl.24-29),SLL,2024,23262.0,1.7,,,1.0,table_1.3.xlsx
Prohibition Act (State),SLL,2022,704281.0,51.0,,,,table_1.3.xlsx
Prohibition Act (State),SLL,2023,781910.0,56.2,,,,table_1.3.xlsx
Prohibition Act (State),SLL,2024,797026.0,56.7,,,34.0,table_1.3.xlsx
The Excise Act,SLL,2022,357833.0,25.9,,,,table_1.3.xlsx
The Excise Act,SLL,2023,364497.0,26.2,,,,table_1.3.xlsx
The Excise Act,SLL,2024,332638.0,23.7,,,14.2,table_1.3.xlsx
The Narcotic Drugs & Psychotropic Substances Act,SLL,2022,115236.0,8.4,,,,table_1.3.xlsx
The Narcotic Drugs & Psychotropic Substances Act,SLL,2023,120010.0,8.6,,,,table_1.3.xlsx
The Narcotic Drugs & Psychotropic Substances Act,SLL,2024,109890.0,7.8,,,4.7,table_1.3.xlsx
Possession of drugs for Personal use/Consumption,SLL,2022,77172.0,5.6,,,,table_1.3.xlsx
Possession of drugs for Personal use/Consumption,SLL,2023,78581.0,5.6,,,,table_1.3.xlsx
Possession of drugs for Personal use/Consumption,SLL,2024,72184.0,5.1,,,3.1,table_1.3.xlsx
Possession of drugs for Trafficking,SLL,2022,38064.0,2.8,,,,table_1.3.xlsx
Possession of drugs for Trafficking,SLL,2023,41429.0,3.0,,,,table_1.3.xlsx
Possession of drugs for Trafficking,SLL,2024,37706.0,2.7,,,1.6,table_1.3.xlsx
Liquor & Narcotic Drugs – Related Acts (Total of Sl.30-32),SLL,2022,1177350.0,85.3,,,,table_1.3.xlsx
Liquor & Narcotic Drugs – Related Acts (Total of Sl.30-32),SLL,2023,1266417.0,91.0,,,,table_1.3.xlsx
Liquor & Narcotic Drugs – Related Acts (Total of Sl.30-32),SLL,2024,1239554.0,88.2,,,52.9,table_1.3.xlsx
The Forest Act & The Forest Conservation Act,SLL,2022,1921.0,0.1,,,,table_1.3.xlsx
The Forest Act & The Forest Conservation Act,SLL,2023,2076.0,0.1,,,,table_1.3.xlsx
The Forest Act & The Forest Conservation Act,SLL,2024,1425.0,0.1,,,0.1,table_1.3.xlsx
The Wildlife Protection Act,SLL,2022,535.0,0.0,,,,table_1.3.xlsx
The Wildlife Protection Act,SLL,2023,526.0,0.0,,,,table_1.3.xlsx
The Wildlife Protection Act,SLL,2024,497.0,0.0,,,0.0,table_1.3.xlsx
The Environmental (Protection) Act,SLL,2022,329.0,0.0,,,,table_1.3.xlsx
The Environmental (Protection) Act,SLL,2023,389.0,0.0,,,,table_1.3.xlsx
The Environmental (Protection) Act,SLL,2024,754.0,0.1,,,0.0,table_1.3.xlsx
The Air & The Water (Prevention & Control of Pollution) Act,SLL,2022,78.0,0.0,,,,table_1.3.xlsx
The Air & The Water (Prevention & Control of Pollution) Act,SLL,2023,68.0,0.0,,,,table_1.3.xlsx
The Air & The Water (Prevention & Control of Pollution) Act,SLL,2024,18.0,0.0,,,0.0,table_1.3.xlsx
The Cigarette and Other Tobacco Products Act,SLL,2022,42642.0,3.1,,,,table_1.3.xlsx
The Cigarette and Other Tobacco Products Act,SLL,2023,59279.0,4.3,,,,table_1.3.xlsx
The Cigarette and Other Tobacco Products Act,SLL,2024,46333.0,3.3,,,2.0,table_1.3.xlsx
Noise Pollution Acts,SLL,2022,7378.0,0.5,,,,table_1.3.xlsx
Noise Pollution Acts,SLL,2023,6640.0,0.5,,,,table_1.3.xlsx
Noise Pollution Acts,SLL,2024,8639.0,0.6,,,0.4,table_1.3.xlsx
The National Green Tribunal Act,SLL,2022,37.0,0.0,,,,table_1.3.xlsx
The National Green Tribunal Act,SLL,2023,16.0,0.0,,,,table_1.3.xlsx
The National Green Tribunal Act,SLL,2024,4.0,0.0,,,0.0,table_1.3.xlsx
Environment & Pollution– Related Acts (Total of Sl. 33-39),SLL,2022,52920.0,3.8,,,,table_1.3.xlsx
Environment & Pollution– Related Acts (Total of Sl. 33-39),SLL,2023,68994.0,5.0,,,,table_1.3.xlsx
Environment & Pollution– Related Acts (Total of Sl. 33-39),SLL,2024,57670.0,4.1,,,2.5,table_1.3.xlsx
The Registration of Foreigners Act & The Foreigners Act,SLL,2022,1270.0,0.1,,,,table_1.3.xlsx
The Registration of Foreigners Act & The Foreigners Act,SLL,2023,1344.0,0.1,,,,table_1.3.xlsx
The Registration of Foreigners Act & The Foreigners Act,SLL,2024,1494.0,0.1,,,0.1,table_1.3.xlsx
The Passport Act,SLL,2022,513.0,0.0,,,,table_1.3.xlsx
The Passport Act,SLL,2023,841.0,0.1,,,,table_1.3.xlsx
The Passport Act,SLL,2024,1185.0,0.1,,,0.1,table_1.3.xlsx
The Emigration Act,SLL,2022,94.0,0.0,,,,table_1.3.xlsx
The Emigration Act,SLL,2023,95.0,0.0,,,,table_1.3.xlsx
The Emigration Act,SLL,2024,194.0,0.0,,,0.0,table_1.3.xlsx
The Citizenship Act,SLL,2022,1.0,0.0,,,,table_1.3.xlsx
The Citizenship Act,SLL,2023,10.0,0.0,,,,table_1.3.xlsx
The Citizenship Act,SLL,2024,1.0,0.0,,,0.0,table_1.3.xlsx
Foreigner & Passport – Related Acts (Total of Sl. 40-43),SLL,2022,1878.0,0.1,,,,table_1.3.xlsx
Foreigner & Passport – Related Acts (Total of Sl. 40-43),SLL,2023,2290.0,0.2,,,,table_1.3.xlsx
Foreigner & Passport – Related Acts (Total of Sl. 40-43),SLL,2024,2874.0,0.2,,,0.1,table_1.3.xlsx
The Indian Railways Act,SLL,2022,171.0,0.0,,,,table_1.3.xlsx
The Indian Railways Act,SLL,2023,96.0,0.0,,,,table_1.3.xlsx
The Indian Railways Act,SLL,2024,116.0,0.0,,,0.0,table_1.3.xlsx
The Railway Property (Unlawful Possession) Act,SLL,2022,9.0,0.0,,,,table_1.3.xlsx
The Railway Property (Unlawful Possession) Act,SLL,2023,3.0,0.0,,,,table_1.3.xlsx
The Railway Property (Unlawful Possession) Act,SLL,2024,2.0,0.0,,,0.0,table_1.3.xlsx
Railways – Related Acts (Total of Sl.44&45),SLL,2022,180.0,0.0,,,,table_1.3.xlsx
Railways – Related Acts (Total of Sl.44&45),SLL,2023,99.0,0.0,,,,table_1.3.xlsx
Railways – Related Acts (Total of Sl.44&45),SLL,2024,118.0,0.0,,,0.0,table_1.3.xlsx
The Indian Telegraph Act,SLL,2022,40.0,0.0,,,,table_1.3.xlsx
The Indian Telegraph Act,SLL,2023,30.0,0.0,,,,table_1.3.xlsx
The Indian Telegraph Act,SLL,2024,29.0,0.0,,,0.0,table_1.3.xlsx
The Telegraph Wire (Unlawful Possession) Act,SLL,2022,5.0,0.0,,,,table_1.3.xlsx
The Telegraph Wire (Unlawful Possession) Act,SLL,2023,11.0,0.0,,,,table_1.3.xlsx
The Telegraph Wire (Unlawful Possession) Act,SLL,2024,4.0,0.0,,,0.0,table_1.3.xlsx
The Cinematograph Act,SLL,2022,8.0,0.0,,,,table_1.3.xlsx
The Cinematograph Act,SLL,2023,8.0,0.0,,,,table_1.3.xlsx
The Cinematograph Act,SLL,2024,5.0,0.0,,,0.0,table_1.3.xlsx
The Cable Television Networks (Regulation) Act,SLL,2022,2.0,0.0,,,,table_1.3.xlsx
The Cable Television Networks (Regulation) Act,SLL,2023,1.0,0.0,,,,table_1.3.xlsx
The Cable Television Networks (Regulation) Act,SLL,2024,1.0,0.0,,,0.0,table_1.3.xlsx
Telegraph/Cinematograph Acts (Total of Sl.46-49),SLL,2022,55.0,0.0,,,,table_1.3.xlsx
Telegraph/Cinematograph Acts (Total of Sl.46-49),SLL,2023,50.0,0.0,,,,table_1.3.xlsx
Telegraph/Cinematograph Acts (Total of Sl.46-49),SLL,2024,39.0,0.0,,,0.0,table_1.3.xlsx
The Essential Commodities Act,SLL,2022,5621.0,0.4,,,,table_1.3.xlsx
The Essential Commodities Act,SLL,2023,4083.0,0.3,,,,table_1.3.xlsx
The Essential Commodities Act,SLL,2024,4042.0,0.3,,,0.2,table_1.3.xlsx
The Prevention of Food Adulteration Act,SLL,2022,17.0,0.0,,,,table_1.3.xlsx
The Prevention of Food Adulteration Act,SLL,2023,9.0,0.0,,,,table_1.3.xlsx
The Prevention of Food Adulteration Act,SLL,2024,12.0,0.0,,,0.0,table_1.3.xlsx
The Food Safety & Standards Act,SLL,2022,237.0,0.0,,,,table_1.3.xlsx
The Food Safety & Standards Act,SLL,2023,234.0,0.0,,,,table_1.3.xlsx
The Food Safety & Standards Act,SLL,2024,210.0,0.0,,,0.0,table_1.3.xlsx
"Food, Drugs and Essential Commodities Acts (Total of Sl. 50-52)",SLL,2022,5875.0,0.4,,,,table_1.3.xlsx
"Food, Drugs and Essential Commodities Acts (Total of Sl. 50-52)",SLL,2023,4326.0,0.3,,,,table_1.3.xlsx
"Food, Drugs and Essential Commodities Acts (Total of Sl. 50-52)",SLL,2024,4264.0,0.3,,,0.2,table_1.3.xlsx
MCOCA/Control of Organised Crimes,SLL,2022,54.0,0.0,,,,table_1.3.xlsx
MCOCA/Control of Organised Crimes,SLL,2023,62.0,0.0,,,,table_1.3.xlsx
MCOCA/Control of Organised Crimes,SLL,2024,16.0,0.0,,,0.0,table_1.3.xlsx
The Gambling Act,SLL,2022,169254.0,12.3,,,,table_1.3.xlsx
The Gambling Act,SLL,2023,166273.0,11.9,,,,table_1.3.xlsx
The Gambling Act,SLL,2024,145224.0,10.3,,,6.2,table_1.3.xlsx
The Electricity Act,SLL,2022,282705.0,20.5,,,,table_1.3.xlsx
The Electricity Act,SLL,2023,306671.0,22.0,,,,table_1.3.xlsx
The Electricity Act,SLL,2024,212212.0,15.1,,,9.1,table_1.3.xlsx
The Antiques and Art Treasures Act,SLL,2022,10.0,0.0,,,,table_1.3.xlsx
The Antiques and Art Treasures Act,SLL,2023,11.0,0.0,,,,table_1.3.xlsx
The Antiques and Art Treasures Act,SLL,2024,13.0,0.0,,,0.0,table_1.3.xlsx
The Representation of the People Act,SLL,2022,168.0,0.0,,,,table_1.3.xlsx
The Representation of the People Act,SLL,2023,423.0,0.0,,,,table_1.3.xlsx
The Representation of the People Act,SLL,2024,507.0,0.0,,,0.0,table_1.3.xlsx
The Bonded Labour System (Abolition) Act,SLL,2022,1421.0,0.1,,,,table_1.3.xlsx
The Bonded Labour System (Abolition) Act,SLL,2023,1246.0,0.1,,,,table_1.3.xlsx
The Bonded Labour System (Abolition) Act,SLL,2024,657.0,0.0,,,0.0,table_1.3.xlsx
For Crimes against SCs,SLL,2022,1315.0,0.1,,,,table_1.3.xlsx
For Crimes against SCs,SLL,2023,1171.0,0.1,,,,table_1.3.xlsx
For Crimes against SCs,SLL,2024,591.0,0.0,,,0.0,table_1.3.xlsx
For Crimes against STs,SLL,2022,33.0,0.0,,,,table_1.3.xlsx
For Crimes against STs,SLL,2023,21.0,0.0,,,,table_1.3.xlsx
For Crimes against STs,SLL,2024,38.0,0.0,,,0.0,table_1.3.xlsx
Against others,SLL,2022,73.0,0.0,,,,table_1.3.xlsx
Against others,SLL,2023,54.0,0.0,,,,table_1.3.xlsx
Against others,SLL,2024,28.0,0.0,,,0.0,table_1.3.xlsx
The Prevention of Insults to National Honour Act,SLL,2022,85.0,0.0,,,,table_1.3.xlsx
The Prevention of Insults to National Honour Act,SLL,2023,50.0,0.0,,,,table_1.3.xlsx
The Prevention of Insults to National Honour Act,SLL,2024,57.0,0.0,,,0.0,table_1.3.xlsx
Defacement of Public Property Acts,SLL,2022,3415.0,0.2,,,,table_1.3.xlsx
Defacement of Public Property Acts,SLL,2023,4327.0,0.3,,,,table_1.3.xlsx
Defacement of Public Property Acts,SLL,2024,5469.0,0.4,,,0.2,table_1.3.xlsx
The Transplantation of Human Organs Act,SLL,2022,3.0,0.0,,,,table_1.3.xlsx
The Transplantation of Human Organs Act,SLL,2023,1.0,0.0,,,,table_1.3.xlsx
The Transplantation of Human Organs Act,SLL,2024,4.0,0.0,,,0.0,table_1.3.xlsx
Transgender Persons (Protection of Rights) Act,SLL,2022,1.0,0.0,,,,table_1.3.xlsx
Transgender Persons (Protection of Rights) Act,SLL,2023,11.0,0.0,,,,table_1.3.xlsx
Transgender Persons (Protection of Rights) Act,SLL,2024,10.0,0.0,,,0.0,table_1.3.xlsx
"Rights of Persons with Disabilities Act, 2016",SLL,2022,,,,,,table_1.3.xlsx
"Rights of Persons with Disabilities Act, 2016",SLL,2023,56.0,0.0,,,,table_1.3.xlsx
"Rights of Persons with Disabilities Act, 2016",SLL,2024,,,,,,table_1.3.xlsx
Prevention of Cruelty to Animal Act,SLL,2022,,,,,,table_1.3.xlsx
Prevention of Cruelty to Animal Act,SLL,2023,9039.0,0.6,,,,table_1.3.xlsx
Prevention of Cruelty to Animal Act,SLL,2024,,,,,,table_1.3.xlsx
The Mental Health Act,SLL,2022,350.0,0.0,,,,table_1.3.xlsx
The Mental Health Act,SLL,2023,325.0,0.0,,,,table_1.3.xlsx
The Mental Health Act,SLL,2024,379.0,0.0,,,0.0,table_1.3.xlsx
Motor Vehicle Act,SLL,2022,94450.0,6.8,,,,table_1.3.xlsx
Motor Vehicle Act,SLL,2023,191828.0,13.8,,,,table_1.3.xlsx
Motor Vehicle Act,SLL,2024,195967.0,13.9,,,8.4,table_1.3.xlsx
City/Town Police Acts,SLL,2022,48501.0,3.5,,,,table_1.3.xlsx
City/Town Police Acts,SLL,2023,50018.0,3.6,,,,table_1.3.xlsx
City/Town Police Acts,SLL,2024,58372.0,4.2,,,2.5,table_1.3.xlsx
Other State Local Acts,SLL,2022,117426.0,8.5,,,,table_1.3.xlsx
Other State Local Acts,SLL,2023,109118.0,7.8,,,,table_1.3.xlsx
Other State Local Acts,SLL,2024,104820.0,7.5,,,4.5,table_1.3.xlsx
Other Regulatory & Enforcement – Acts (Total of Sl.53-68),SLL,2022,717843.0,52.0,,,,table_1.3.xlsx
Other Regulatory & Enforcement – Acts (Total of Sl.53-68),SLL,2023,830364.0,59.6,,,,table_1.3.xlsx
Other Regulatory & Enforcement – Acts (Total of Sl.53-68),SLL,2024,732802.0,52.2,,,31.3,table_1.3.xlsx
Other SLL Crimes,SLL,2022,75665.0,5.5,,,,table_1.3.xlsx
Other SLL Crimes,SLL,2023,53670.0,3.9,,,,table_1.3.xlsx
Other SLL Crimes,SLL,2024,63437.0,4.5,,,2.7,table_1.3.xlsx
